Thorfare_ID,street_name,road_start,road_finish,new_area_code,Impact No,year_built,yr_last_repaired,in_charge,Irish
375905,ALBANY ROAD,OFF MERTON DRIVE,,5,,,1971,Y ,Bóthar Albaine 
375905,ALBANY ROAD,OFF MERTON DRIVE,,5,,,1940,Y ,Bóthar Albaine 
320893,ALBERT COLLEGE AVENUE,ALBERT COLLEGE,,2,,,1971,Y ,Ascaill Choláiste
321455,ALBERT COLLEGE CRESCENT,ALBERT COLLEGE AVE.,,2,,,1971,Y ,Corrán Choláiste Ailbhe
321505,ALBERT COLLEGE DRIVE,ALBERT COLLEGE AVE.,BALLYMUN ROAD,2,,,1971,Y ,Céide Choláiste Ailbhe 
321481,ALBERT COLLEGE GROVE,ALBERT COLLEGE AVENUE,,2,,,1971,Y ,Garrán Choláiste Ailbhe
322204,ALBERT COLLEGE LAWN,ALBERT COLLEGE AVENUE,,2,,,0,Y ,
321425,ALBERT COLLEGE PARK,COLLINS AVE. EXT.,ALBERT COLLEGE PARK,2,,,1971,Y ,Páirc Choláiste Ailbhe 
33677945,ALBERT COURT EAST,GRAND CANAL ST. LR.,,5,,,0,Y ,Cúirt Ailbhe Thoir  
47287,ALBERT PLACE EAST,GRAND CANAL ST. LWR.,,5,,,1987,Y ,Plás Ailbhe Thoir
47028,ALBERT PLACE WEST,CHARLOTTE ST.,PETERS PLACE,5,,,1940,Y ,Plás Ailbhe Thiar
47033,ALBERT TERRACE,ALBERT PLACE WEST,,5,,,1940,Y ,Ardán Ailbhe
243487,ALDBOROUGH PARADE,NORTH STRAND,,1,,,1971,Y ,Paráid Albro
30263,ALDBOROUGH PLACE,PORTLAND ROW,,1,,,1971,Y ,Plás Albro  
30264,ALDBOROUGH SQUARE,ALDBOROUGH PLACE,,1,,,1972,Y ,Cearnóg Albro  
284002,ALDRIN WALK,TRANQUILITY GROVE,,3,,,1941,Y ,Cosán Aildrin  
30236,ALEXANDER TERRACE,OFF CASTLEFORBES RD.,,1,,,1940,Y ,Ardán Alexandra
125263,ALEXANDRA TERRACE,BLOOMFIELD AVE.,,5,,,1986,Y ,Ardán Alexandra
336071,ALEXANDRA TERRACE,WHITTON RD.,ST.ENDAS ROAD,5,,,1959,Y ,Ardán Alexandra
168039,ALFIE BYRNE ROAD,EAST WALL RD.,CLONTARF ROAD,3,3,,1984,Y ,
30564,ALL HALLOWS GREEN,ALL HALLOWS SQUARE,THE COPSE,1,,0,,N,
30565,ALL HALLOWS SQUARE,BERESFORD AVENUE,,3,,2001,2001,N,
30901,ALL SAINTS CLOSE,ALL SAINTS PARK,,3,,0,,N,
163620,ALL SAINTS DRIVE,WADE'S AVE,WATERMILL ROAD,3,,,1940,Y ,Céide na Naomh 
163619,ALL SAINTS PARK,ALL SAINTS RD,ALL SAINTS DRIVE,3,,,1940,Y ,Páirc na Naomh 
163619,ALL SAINTS PARK,ALL SAINTS RD.,ALL SAINTS DRIVE,3,,,1940,Y ,Páirc na Naomh 
